date,closedPnL,volume,classification,value,leverage,leverage_delta,pnl_next,sentiment_flag
2024-01-31,-799.840817,6305647.13,Greed,60.0,0.11277278313730275,0.10560093275559135,0.0,1.0
2024-02-01,0.0,2008.18,Greed,63.0,3.591314926386786e-05,-0.11273686998803889,456.423473,1.0
2024-02-02,456.423473,474278.43,Greed,63.0,0.008482188419117105,0.008446275269853238,223.30918699999998,1.0
2024-02-03,223.30918699999998,603820.0,Greed,60.0,0.01079896310291089,0.0023167746837937844,47.62389499999999,1.0
2024-02-04,47.62389499999999,203187.53,Greed,60.0,0.0036338873360989457,-0.007165075766811944,-33.45419400000003,1.0
2024-02-05,-33.45419400000003,770198.26,Greed,60.0,0.01377454029177513,0.010140652955676184,-215.615907,1.0
2024-02-06,-215.615907,8047153.41,Greed,64.0,0.1439185972660947,0.13014405697431958,241.24212,1.0
2024-02-07,241.24212,6758.73,Greed,62.0,0.00012087393809865322,-0.14379772332799606,770.756024,1.0
2024-02-08,770.756024,26051.12,Greed,66.0,0.00046590697067558107,0.0003450330325769278,983.443176,1.0
2024-02-11,983.443176,212311.82,Greed,71.0,0.0037970698888470157,0.0033311629181714346,913.8817869999998,1.0
2024-02-12,913.8817869999998,227247.69999999998,Greed,70.0,0.004064189305912764,0.0002671194170657484,559.44389,1.0
2024-02-13,559.44389,1999.99,Extreme Greed,79.0,3.57666759375042e-05,-0.00402842262997526,3830.599833,1.0
2024-02-14,3830.599833,320839.88,Greed,74.0,0.0057380303225460436,0.005702263646608539,1840.797677,1.0
2024-02-15,1840.797677,185188.04,Greed,72.0,0.0033119770585471188,-0.0024260532639989248,5491.768834,1.0
2024-02-16,5491.768834,564896.51,Greed,72.0,0.010102839408895907,0.006790862350348788,1929.6418,1.0
2024-02-17,1929.6418,406118.07,Extreme Greed,76.0,0.007263180524691628,-0.0028396588842042794,477.6248299999999,1.0
2024-02-18,477.6248299999999,157048.17,Greed,72.0,0.0028087120570402806,-0.004454468467651348,4317.768563,1.0
2024-02-19,4317.768563,286377.2,Extreme Greed,75.0,0.005121685588113024,0.002312973531072744,3263.628824,1.0
2024-02-20,3263.628824,119419.72,Greed,72.0,0.002135749390690009,-0.0029859361974230152,1858.7985700000002,1.0
2024-02-21,1858.7985700000002,108047.51999999999,Extreme Greed,78.0,0.001932364291535817,-0.00020338509915419217,3894.1050699999996,1.0
2024-02-22,3894.1050699999996,373033.87,Greed,74.0,0.006671489093179948,0.004739124801644131,1418.55293,1.0
2024-02-23,1418.55293,111106.14,Extreme Greed,76.0,0.0019870659088108383,-0.00468442318436911,-30.7705,1.0
2024-02-25,-30.7705,4480.13,Greed,74.0,8.012251911791585e-05,-0.0019069433896929224,4416.8473,1.0
2024-02-26,4416.8473,192187.14,Greed,72.0,0.0034371518398110877,0.0033570293206931718,888.511733,1.0
2024-02-27,888.511733,209362.3,Extreme Greed,79.0,0.0037443194608157396,0.0003071676210046519,2503.747235,1.0
2024-02-28,2503.747235,171107.13,Extreme Greed,82.0,0.0030601482763826077,-0.0006841711844331319,9813.996992,1.0
2024-02-29,9813.996992,395666.73,Extreme Greed,80.0,0.007076264464281665,0.0040161161878990576,8244.241409,1.0
2024-03-01,8244.241409,472974.7,Extreme Greed,80.0,0.008458871975920513,0.0013826075116388477,230.90060000000005,1.0
2024-03-02,230.90060000000005,63197.56,Extreme Greed,80.0,0.001130249172063636,-0.007328622803856877,8361.086245,1.0
2024-03-03,8361.086245,390745.68,Extreme Greed,83.0,0.006988254383365683,0.005858005211302047,27799.775742,1.0
2024-03-04,27799.775742,1577996.87,Extreme Greed,82.0,0.028221542665235706,0.021233288281870023,19791.026041,1.0
2024-03-05,19791.026041,841810.32,Extreme Greed,90.0,0.015055279807764643,-0.013166262857471063,6814.825139,1.0
2024-03-06,6814.825139,327218.02,Extreme Greed,75.0,0.005852099599934704,-0.009203180207829939,4271.886236,1.0
2024-03-08,4271.886236,183583.18,Extreme Greed,81.0,0.0032832750826560335,-0.0025688245172786704,9949.501624,1.0
2024-03-09,9949.501624,658178.75,Extreme Greed,84.0,0.011771137331173489,0.008487862248517455,2482.9272,1.0
2024-03-10,2482.9272,219973.85,Extreme Greed,79.0,0.003934100782717365,-0.007837036548456123,3588.179495,1.0
2024-03-11,3588.179495,176519.44999999998,Extreme Greed,82.0,0.003156944431906975,-0.00077715635081039,3039.166,1.0
2024-03-12,3039.166,103040.85,Extreme Greed,81.0,0.0018428229473471539,-0.0013141214845598212,0.0,1.0
2024-03-13,0.0,6000.799999999999,Extreme Greed,81.0,0.00010731880644409766,-0.0017355041409030563,3465.865832,1.0
2024-03-14,3465.865832,205933.18,Extreme Greed,88.0,0.003682991669252839,0.0035756728628087413,6236.513651,1.0
2024-03-15,6236.513651,351894.41,Extreme Greed,83.0,0.006293422301515532,0.002610430632262693,228.57984,1.0
2024-03-16,228.57984,37223.66,Extreme Greed,81.0,0.0006657212683228416,-0.0056277010331926905,503.293955,1.0
2024-03-17,503.293955,99506.95,Extreme Greed,79.0,0.0017796212271961717,0.0011138999588733301,1456.9577,1.0
2024-03-18,1456.9577,90458.08,Extreme Greed,77.0,0.0016177875167282419,-0.00016183371046792983,668.797973,1.0
2024-03-19,668.797973,219884.84,Extreme Greed,79.0,0.003932508891291282,0.00231472137456304,6423.134599,1.0
2024-03-20,6423.134599,215705.85,Greed,74.0,0.003857770116426754,-7.473877486452755e-05,2335.5080749999997,1.0
2024-03-21,2335.5080749999997,117895.57,Extreme Greed,78.0,0.002108490865613431,-0.001749279250813323,1297.018477,1.0
2024-03-24,1297.018477,92592.20999999999,Greed,74.0,0.0016559551748469817,-0.00045253569076644925,1302.916428,1.0
2024-03-25,1302.916428,57116.32,Extreme Greed,75.0,0.0010214897763107969,-0.0006344653985361848,3215.906593,1.0
2024-03-26,3215.906593,198565.19,Extreme Greed,81.0,0.003551219507602754,0.002529729731291957,150.41114,1.0
2024-03-27,150.41114,99864.79,Extreme Greed,83.0,0.0017860209848403685,-0.0017651985227623856,227.85100799999998,1.0
2024-03-28,227.85100799999998,35323.72,Extreme Greed,80.0,0.0006317419604240167,-0.0011542790244163518,883.097404,1.0
2024-03-29,883.097404,86914.37,Extreme Greed,79.0,0.001554410350505022,0.0009226683900810052,1100.57514,1.0
2024-03-30,1100.57514,101103.92,Extreme Greed,75.0,0.001808182095084203,0.00025377174457918115,912.786145,1.0
2024-03-31,912.786145,39912.96,Extreme Greed,75.0,0.0007138178149150021,-0.001094364280169201,2507.963406,1.0
2024-04-01,2507.963406,339470.47,Extreme Greed,79.0,0.006071227451901058,0.0053574096369860555,883.760812,1.0
2024-04-02,883.760812,239664.50999999998,Extreme Greed,79.0,0.004286256639676571,-0.0017849708122244868,126.7884,1.0
